DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK
1969-01-01,3.6768271155897616,3.4,3.5751506887855933,6.3,4.633563260489309,2.718264523509182,3.6990277851657516,3.3129124667945837,0.0,0.0
1969-02-01,3.6832058898430846,3.4,3.5779478934066544,6.61,4.655387902148709,2.7214269981438486,3.7079219886912522,3.318467734063159,0.0,0.0
1969-03-01,3.6910171675754833,3.4,3.586292865338835,6.79,4.665606554791922,2.698471134655216,3.706793043398815,3.31752587563454,-0.2316979,-0.2316979
1969-04-01,3.6873282516212,3.4,3.591817741270805,7.41,4.680092112505351,2.7107133185216936,3.7052448082002005,3.323019600598131,0.4568731,0.22517519999999996
1969-05-01,3.6835427391489417,3.4,3.594568774642695,8.67,4.69866052907543,2.7109127667156865,3.714303506454095,3.3299161796571917,0.2106271,0.4358023
1969-06-01,3.6932648243064627,3.5,3.6000482404073204,8.9,4.71240893665769,2.708583392263869,3.700758616644014,3.332561589272017,0.0010019,0.4368042
1969-07-01,3.6985302351560443,3.5,3.6054978451748854,8.61,4.71240893665769,2.686349774122871,3.7071367703847673,3.3319544789199944,0.1707941,0.6075983
1969-08-01,3.7008253173198153,3.5,3.6082115510464816,9.19,4.729421148325948,2.7070497007686263,3.717636964533132,3.336694415448056,0.2883907,0.895989
1969-09-01,3.700600493564633,3.7,3.6136169696133895,9.15,4.735145262409837,2.7277874667852418,3.7067439298975033,3.3407040012331928,0.006364,0.9023530000000001
1969-10-01,3.700894483692141,3.7,3.6189933266497696,9.0,4.732859547128981,2.71097924060809,3.7204265696120657,3.3464243558148636,0.0959223,0.9982753000000001
1969-11-01,3.6914237147361884,3.5,3.624340932976365,8.85,4.738213959745856,2.7006898466959175,3.715375317917901,3.3507458381660573,0.0009498,0.9992251000000001
1969-12-01,3.68873444360042,3.5,3.629660094453965,8.97,4.741273268980431,2.6983365089145708,3.7157647828953184,3.3493425261198784,0.0618979,1.061123
1970-01-01,3.6700431597676415,3.9,3.634951112088381,8.98,4.754279608575932,2.685940915514109,3.728532765990588,3.3556419800026527,-0.1314878,0.9296352000000001
1970-02-01,3.6693856791179744,4.2,3.6402142821326553,8.98,4.758749273916392,2.703104658709196,3.722120787893738,3.3639453959592664,-0.3475334,0.5821018000000001
1970-03-01,3.668084734857231,4.4,3.6454498961866,7.76,4.761660982747524,2.674355524578113,3.7265123689207873,3.3588464411216252,-0.0914939,0.4906079000000001
1970-04-01,3.6655110269029914,4.6,3.6506582412937387,8.1,4.7561730595246186,2.6895467295376503,3.7185110692385392,3.3618326581398787,-0.0954716,0.3951363000000001
1970-05-01,3.6643459538645247,4.8,3.653252276470785,7.94,4.744758200195145,2.7008913039037306,3.7274509180890365,3.365984625906411,0.2176629,0.6127992000000001
1970-06-01,3.6611047843610804,4.9,3.6584202466292277,7.6,4.734266759322502,2.7076501210808703,3.7293013686128518,3.369534701153314,-0.1733587,0.4394405000000001
1970-07-01,3.663556517911369,5.0,3.6609942506244004,7.21,4.726768157735579,2.698942182071483,3.728292456470771,3.3722147467376726,-0.2318805,0.20756000000000013
1970-08-01,3.6617728677318966,5.1,3.6635616461296463,6.61,4.726502471155617,2.7067159780890733,3.7310045991645833,3.3764606014297414,-0.4497683,-0.24220829999999988
1970-09-01,3.6548546189770925,5.4,3.6686767467964168,6.29,4.719212902028752,2.703372611551099,3.7374791239499987,3.382592037336586,-0.2516544,-0.4938626999999999
1970-10-01,3.6346502752847987,5.5,3.673765816303888,6.2,4.7086288943563215,2.667922410011431,3.7370027292956647,3.3806204546733243,-0.0083306,-0.5021932999999998
1970-11-01,3.6285746249083934,5.9,3.6788291182604347,5.6,4.693181063310805,2.6084508358794554,3.740118997056904,3.3810286873716286,-0.3597735,-0.8619667999999998
1970-12-01,3.6512788279108026,6.1,3.6838669122903918,4.9,4.675255793554779,2.6256101777178227,3.754433084853375,3.3848308442418578,-0.2586008,-1.1205675999999998
1971-01-01,3.658943305686274,5.9,3.686376323895818,4.14,4.6740430502744665,2.7324175575505043,3.751455112596417,3.3848647270412577,-0.6886783,-1.8092458999999996
1971-02-01,3.6570352673695132,5.9,3.686376323895818,3.72,4.699297848712789,2.7265447837383743,3.751596003969402,3.3902038401872896,-0.0697358,-1.8789816999999995
1971-03-01,3.655950704974465,6.0,3.6888794541139363,3.71,4.694462293466853,2.7495119909098045,3.740783811764297,3.392022083726703,-0.106141,-1.9851226999999996
1971-04-01,3.66155193570613,5.9,3.6913763343125234,4.15,4.698022803002708,2.754042804952683,3.7511262888429844,3.395447549681548,0.4169878,-1.5681348999999996
1971-05-01,3.666613395059764,5.9,3.696351468952637,4.63,4.689327493994814,2.7454102098592874,3.7462517339718064,3.3997964007465273,0.065413,-1.5027218999999996
1971-06-01,3.6707969465631707,5.9,3.7013019741124933,4.91,4.683426683953859,2.7764562337662704,3.7532851539311465,3.401897136776429,0.4396511,-1.0630707999999995
1971-07-01,3.6678907236754514,6.0,3.703768066607687,5.31,4.6851821239574765,2.754870171746101,3.7464877667342495,3.4041928906419536,-0.1096186,-1.1726893999999994
1971-08-01,3.662070791768608,6.1,3.7062280924485496,5.56,4.6845357413688316,2.7737130899014906,3.746912485364546,3.4096614600742847,0.0,-1.1726893999999994
1971-09-01,3.6781925520587913,6.0,3.708682081410116,5.55,4.67702562308852,2.8250625695004836,3.751149779840061,3.4114776910697118,0.0,-1.1726893999999994
